GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Veteran,Margin of Error; Total: - Veteran,Estimate; Total: - Nonveteran,Margin of Error; Total: - Nonveteran,Estimate; Total: - Male:,Margin of Error; Total: - Male:,Estimate; Total: - Male: - Veteran,Margin of Error; Total: - Male: - Veteran,Estimate; Total: - Male: - Nonveteran,Margin of Error; Total: - Male: - Nonveteran,Estimate; Total: - Male: - 18 to 34 years:,Margin of Error; Total: - Male: - 18 to 34 years:,Estimate; Total: - Male: - 18 to 34 years: - Veteran,Margin of Error; Total: - Male: - 18 to 34 years: - Veteran,Estimate; Total: - Male: - 18 to 34 years: - Nonveteran,Margin of Error; Total: - Male: - 18 to 34 years: - Nonveteran,Estimate; Total: - Male: - 35 to 54 years:,Margin of Error; Total: - Male: - 35 to 54 years:,Estimate; Total: - Male: - 35 to 54 years: - Veteran,Margin of Error; Total: - Male: - 35 to 54 years: - Veteran,Estimate; Total: - Male: - 35 to 54 years: - Nonveteran,Margin of Error; Total: - Male: - 35 to 54 years: - Nonveteran,Estimate; Total: - Male: - 55 to 64 years:,Margin of Error; Total: - Male: - 55 to 64 years:,Estimate; Total: - Male: - 55 to 64 years: - Veteran,Margin of Error; Total: - Male: - 55 to 64 years: - Veteran,Estimate; Total: - Male: - 55 to 64 years: - Nonveteran,Margin of Error; Total: - Male: - 55 to 64 years: - Nonveteran,Estimate; Total: - Male: - 65 to 74 years:,Margin of Error; Total: - Male: - 65 to 74 years:,Estimate; Total: - Male: - 65 to 74 years: - Veteran,Margin of Error; Total: - Male: - 65 to 74 years: - Veteran,Estimate; Total: - Male: - 65 to 74 years: - Nonveteran,Margin of Error; Total: - Male: - 65 to 74 years: - Nonveteran,Estimate; Total: - Male: - 75 years and over:,Margin of Error; Total: - Male: - 75 years and over:,Estimate; Total: - Male: - 75 years and over: - Veteran,Margin of Error; Total: - Male: - 75 years and over: - Veteran,Estimate; Total: - Male: - 75 years and over: - Nonveteran,Margin of Error; Total: - Male: - 75 years and over: - Nonveteran,Estimate; Total: - Female:,Margin of Error; Total: - Female:,Estimate; Total: - Female: - Veteran,Margin of Error; Total: - Female: - Veteran,Estimate; Total: - Female: - Nonveteran,Margin of Error; Total: - Female: - Nonveteran,Estimate; Total: - Female: - 18 to 34 years:,Margin of Error; Total: - Female: - 18 to 34 years:,Estimate; Total: - Female: - 18 to 34 years: - Veteran,Margin of Error; Total: - Female: - 18 to 34 years: - Veteran,Estimate; Total: - Female: - 18 to 34 years: - Nonveteran,Margin of Error; Total: - Female: - 18 to 34 years: - Nonveteran,Estimate; Total: - Female: - 35 to 54 years:,Margin of Error; Total: - Female: - 35 to 54 years:,Estimate; Total: - Female: - 35 to 54 years: - Veteran,Margin of Error; Total: - Female: - 35 to 54 years: - Veteran,Estimate; Total: - Female: - 35 to 54 years: - Nonveteran,Margin of Error; Total: - Female: - 35 to 54 years: - Nonveteran,Estimate; Total: - Female: - 55 to 64 years:,Margin of Error; Total: - Female: - 55 to 64 years:,Estimate; Total: - Female: - 55 to 64 years: - Veteran,Margin of Error; Total: - Female: - 55 to 64 years: - Veteran,Estimate; Total: - Female: - 55 to 64 years: - Nonveteran,Margin of Error; Total: - Female: - 55 to 64 years: - Nonveteran,Estimate; Total: - Female: - 65 to 74 years:,Margin of Error; Total: - Female: - 65 to 74 years:,Estimate; Total: - Female: - 65 to 74 years: - Veteran,Margin of Error; Total: - Female: - 65 to 74 years: - Veteran,Estimate; Total: - Female: - 65 to 74 years: - Nonveteran,Margin of Error; Total: - Female: - 65 to 74 years: - Nonveteran,Estimate; Total: - Female: - 75 years and over:,Margin of Error; Total: - Female: - 75 years and over:,Estimate; Total: - Female: - 75 years and over: - Veteran,Margin of Error; Total: - Female: - 75 years and over: - Veteran,Estimate; Total: - Female: - 75 years and over: - Nonveteran,Margin of Error; Total: - Female: - 75 years and over: - Nonveteran
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",4227,369,257,96,3970,373,1948,204,257,96,1691,218,582,154,21,33,561,155,626,145,32,46,594,150,374,128,38,43,336,129,179,66,42,40,137,57,187,63,124,54,63,49,2279,279,0,12,2279,279,859,198,0,12,859,198,672,140,0,12,672,140,360,137,0,12,360,137,234,95,0,12,234,95,154,75,0,12,154,75
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",3828,758,0,12,3828,758,1748,467,0,12,1748,467,1721,465,0,12,1721,465,0,12,0,12,0,12,23,26,0,12,23,26,4,5,0,12,4,5,0,12,0,12,0,12,2080,386,0,12,2080,386,2065,386,0,12,2065,386,11,26,0,12,11,26,4,5,0,12,4,5,0,12,0,12,0,12,0,12,0,12,0,12
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",4126,641,161,69,3965,645,1698,273,161,69,1537,283,837,261,7,19,830,259,406,123,9,14,397,122,206,79,20,21,186,81,155,59,57,39,98,52,94,48,68,44,26,33,2428,462,0,12,2428,462,1499,468,0,12,1499,468,405,97,0,12,405,97,221,71,0,12,221,71,233,71,0,12,233,71,70,47,0,12,70,47
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",5351,637,142,93,5209,641,2485,551,91,55,2394,559,1257,578,17,27,1240,578,789,150,11,19,778,148,233,92,12,20,221,90,145,94,37,34,108,89,61,40,14,21,47,35,2866,361,51,54,2815,344,1403,340,17,28,1386,330,758,170,11,17,747,169,358,127,0,17,358,127,118,49,0,17,118,49,229,78,23,42,206,82
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",1246,168,62,35,1184,158,617,94,62,35,555,91,151,66,0,12,151,66,196,50,1,2,195,50,105,40,10,24,95,36,90,42,22,19,68,38,75,30,29,21,46,22,629,96,0,12,629,96,97,48,0,12,97,48,198,45,0,12,198,45,189,58,0,12,189,58,94,36,0,12,94,36,51,32,0,12,51,32
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",3089,489,86,62,3003,479,1405,170,74,59,1331,174,765,167,0,12,765,167,380,136,0,12,380,136,133,77,0,12,133,77,52,47,16,25,36,40,75,57,58,52,17,26,1684,469,12,20,1672,471,912,474,0,12,912,474,512,152,12,20,500,151,130,81,0,12,130,81,88,63,0,12,88,63,42,49,0,12,42,49
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",2709,214,131,51,2578,209,1136,124,124,51,1012,114,396,101,6,9,390,104,338,68,19,21,319,63,225,61,25,24,200,60,103,48,40,26,63,37,74,37,34,30,40,30,1573,172,7,11,1566,172,632,162,0,12,632,162,513,118,7,11,506,119,212,65,0,12,212,65,117,45,0,12,117,45,99,57,0,12,99,57
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",3847,347,207,85,3640,343,1594,196,174,76,1420,190,309,99,0,12,309,99,657,159,48,43,609,154,275,88,15,25,260,85,226,89,58,42,168,81,127,49,53,37,74,40,2253,251,33,38,2220,251,709,162,0,12,709,162,617,144,33,38,584,144,472,138,0,12,472,138,213,81,0,12,213,81,242,93,0,12,242,93
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",4779,308,304,130,4475,310,1623,241,285,126,1338,255,568,179,0,12,568,179,424,172,64,73,360,157,165,93,0,12,165,93,286,95,75,52,211,89,180,88,146,80,34,38,3156,248,19,32,3137,249,801,201,0,12,801,201,909,232,0,12,909,232,476,152,0,12,476,152,509,118,0,12,509,118,461,142,19,32,442,151
